"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","Get exercises","LMS service","Fri May 09 11:23:34 GMT 2025","passed","Fri May 09 11:23:35 GMT 2025","Get entities","Exercises","",""
"","267","Create file","LMS service","Fri May 09 11:23:37 GMT 2025","passed","Fri May 09 11:23:38 GMT 2025","Create entity","Files","",""
"","17","Get file with incorrect file id","LMS service","Fri May 09 11:23:40 GMT 2025","passed","Fri May 09 11:23:40 GMT 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Fri May 09 11:23:40 GMT 2025","passed","Fri May 09 11:23:40 GMT 2025","Delete entity","Files","",""
"","555","Create user","LMS service","Fri May 09 11:23:40 GMT 2025","passed","Fri May 09 11:23:41 GMT 2025","Create entity","Users","",""
"","39","Get courses","LMS service","Fri May 09 11:23:33 GMT 2025","passed","Fri May 09 11:23:33 GMT 2025","Get entities","Courses","",""
"","35","Update course","LMS service","Fri May 09 11:23:34 GMT 2025","passed","Fri May 09 11:23:34 GMT 2025","Update entity","Courses","",""
"","23","Update exercise","LMS service","Fri May 09 11:23:37 GMT 2025","passed","Fri May 09 11:23:37 GMT 2025","Update entity","Exercises","",""
"","24","Delete exercise","LMS service","Fri May 09 11:23:37 GMT 2025","passed","Fri May 09 11:23:37 GMT 2025","Delete entity","Exercises","",""
"","23","Create file with empty directory","LMS service","Fri May 09 11:23:39 GMT 2025","passed","Fri May 09 11:23:39 GMT 2025","Validate entity","Files","",""
"","267","Create file with empty filename","LMS service","Fri May 09 11:23:39 GMT 2025","passed","Fri May 09 11:23:39 GMT 2025","Validate entity","Files","",""
"","287","Login with correct email and password","LMS service","Fri May 09 11:23:32 GMT 2025","passed","Fri May 09 11:23:32 GMT 2025","Login","Authentication","",""
"","23","Create exercise","LMS service","Fri May 09 11:23:36 GMT 2025","passed","Fri May 09 11:23:36 GMT 2025","Create entity","Exercises","",""
"","20","Get exercise","LMS service","Fri May 09 11:23:35 GMT 2025","passed","Fri May 09 11:23:35 GMT 2025","Get entity","Exercises","",""
"","17","Get file","LMS service","Fri May 09 11:23:38 GMT 2025","passed","Fri May 09 11:23:38 GMT 2025","Get entity","Files","",""
"","288","Create user","LMS service","Fri May 09 11:23:40 GMT 2025","passed","Fri May 09 11:23:40 GMT 2025","Create entity","Users","",""
"","33","Create course","LMS service","Fri May 09 11:23:33 GMT 2025","passed","Fri May 09 11:23:33 GMT 2025","Create entity","Courses","",""
"","18","Get user me","LMS service","Fri May 09 11:23:41 GMT 2025","passed","Fri May 09 11:23:42 GMT 2025","Get entity","Users","",""
"","529","Create user","LMS service","Fri May 09 11:23:40 GMT 2025","passed","Fri May 09 11:23:41 GMT 2025","Create entity","Users","",""
